"Date","MRYC1L","NBBC1","ORDC1"
"2006-09-04","0","0.21864375","1.24896708333333"
"2006-09-05","0","0.216958333333333","1.24409708333333"
"2006-09-06","0","0.215572083333333","1.24057625"
"2006-09-07","0","0.214266666666667","1.23767541666667"
"2006-09-08","0","0.213027916666667","1.23481666666667"
"2006-09-09","0","0.21196","1.23287166666667"
"2006-09-10","0","0.210964166666667","1.23131541666667"
"2006-09-11","0","0.209728333333333","1.22753583333333"
"2006-09-12","0","0.208774166666667","1.22506458333333"
"2006-09-13","0","0.207867083333333","1.223135"
"2006-09-14","0","0.207120416666667","1.22201666666667"
"2006-09-15","0","0.206282083333333","1.21954166666667"
"2006-09-16","0","0.205755416666667","1.21960666666667"
"2006-09-17","0","0.20409","1.21671958333333"
"2006-09-18","0","0.20114875","1.21502791666667"
"2006-09-19","0","0.198010833333333","1.21366875"
"2006-09-20","0","0.19497875","1.21324208333333"
"2006-09-21","0","0.192030416666667","1.21295208333333"
"2006-09-22","0","0.18887625","1.21059625"
"2006-09-23","0","0.185927916666667","1.20942958333333"
"2006-09-24","0","0.183051666666667","1.2087725"
"2006-09-25","0","0.180209166666667","1.2081675"
"2006-09-26","0","0.177485","1.20854166666667"
"2006-09-27","0","0.174832083333333","1.20893958333333"
"2006-09-28","0","0.172004583333333","1.20729833333333"
"2006-09-29","0","0.16934875","1.20685208333333"
"2006-09-30","0","0.166754166666667","1.20688125"
"2006-10-01","0","0.16426875","1.20779125"
"2006-10-02","0","0.16199875","1.20869375"
"2006-10-03","0","0.172230416666667","1.21606375"
"2006-10-04","0","0.15782625","1.20795833333333"
"2006-10-05","0","0.16066","1.27866666666667"
"2006-10-06","0","0.23667","1.3411575"
"2006-10-07","0","0.172462083333333","1.26934291666667"
"2006-10-08","0","0.1631075","1.269245"
"2006-10-09","0","0.148017083333333","1.24964208333333"
"2006-10-10","0","0.14573875","1.2326475"
"2006-10-11","0","0.143509166666667","1.22978375"
"2006-10-12","0","0.141397916666667","1.23037958333333"
"2006-10-13","0","0.13933125","1.23141375"
"2006-10-14","0","0.137109166666667","1.230645"
"2006-10-15","0","0.1350625","1.2310875"
"2006-10-16","0","0.133037916666667","1.23387416666667"
